"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4237","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254889","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","08-Jan-2026","ANIL RAI PRATHMIK VIDHYALAY","Payment Success","506800"
"4238","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/255800","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","09-Feb-2026","ANIL RAI PRATHMIK VIDHYALAY","Payment Success","87150"
"4239","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254889","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","09-Feb-2026","ANIL RAI PRATHMIK VIDHYALAY","Payment Success","250000"
"4240","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254891","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","08-Jan-2026","ANIL RAI INTER COLLEGE","Payment Success","506800"
"4241","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/255799","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","19-Jan-2026","ANIL RAI INTER COLLEGE","Payment Success","513000"
"4242","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/255799","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","09-Feb-2026","ANIL RAI INTER COLLEGE","Payment Success","87150"
"4243","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254891","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","09-Feb-2026","ANIL RAI INTER COLLEGE","Payment Success","250000"
"4244","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254891","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","07-Apr-2026","ANIL RAI INTER COLLEGE","Payment Success","150000"
"4245","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254891","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","24-Jan-2026","ANIL RAI INTER COLLEGE","Payment Success","93200"
"4246","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/255799","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","14-May-2026","ANIL RAI INTER COLLEGE","Payment Success","149850"
"4247","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/255799","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","07-Mar-2026","ANIL RAI INTER COLLEGE","Payment Success","250000"
"4248","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2025-2026/255050","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","19-Jun-2026","Shankar Hardware and Cement Store","Payment Success","8800"
"4249","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Shankar Hardware and Cement Store","Payment Success","42975"
"4250","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Shankar Hardware and Cement Store","Payment Success","47990"
"4251","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2025-2026/255050","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","19-Mar-2026","Shankar Hardware and Cement Store","Payment Success","49700"
"4252","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2025-2026/255050","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","19-Mar-2026","Shankar Hardware and Cement Store","Payment Success","46100"
"4253","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shankar Hardware and Cement Store","Payment Success","40251"
"4254","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shankar Hardware and Cement Store","Payment Success","49175"
"4255","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shankar Hardware and Cement Store","Payment Success","45012"
"4256","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shankar Hardware and Cement Store","Payment Success","30000"
"4257","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Shankar Hardware and Cement Store","Payment Success","41700"
"4258","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Shankar Hardware and Cement Store","Payment Success","32500"
"4259","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Shankar Hardware and Cement Store","Payment Success","28800"
"4260","Himachal Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP078/2025-2026/235492","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","16-Jan-2026","Development Block Kamrou at Tilordhar","Payment Success","150000"
"4261","Himachal Pradesh","Construction of community centers and community halls","WS/MP078/2025-2026/235498","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","14-Jan-2026","Development Block Kamrou at Tilordhar","Payment Success","200000"
"4262","Himachal Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP078/2025-2026/235503","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","14-Jan-2026","Development Block Kamrou at Tilordhar","Payment Success","150000"
"4263","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP204/2025-2026/193350","Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","24-Feb-2026","pratap singh contracter","Payment Success","496824"
"4264","Punjab","Street lights","WS/MP141/2025-2026/184362","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","09-Jan-2026","Gagandeep Singh and Associates","Payment Success","857132"
"4265","Punjab","Street lights","WS/MP141/2025-2026/184362","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","10-Mar-2026","Gagandeep Singh and Associates","Payment Success","540810"
"4266","Punjab","Construction of shelters for animals","WS/MP141/2024-2025/172010","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","15-Jan-2026","The Modey Coop L and C Society","Payment Success","684301"
"4267","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP104/2025-2026/225457","DEWAS(DISTRICT COLLECTOR DEWAS_IDA)","Dr. L. Murugan (2024-30) (2024-2030)","Elected MP","27-Jan-2026","BALAJI INFRATECH","Payment Success","200444"
"4268","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP104/2025-2026/225457","DEWAS(DISTRICT COLLECTOR DEWAS_IDA)","Dr. L. Murugan (2024-30) (2024-2030)","Elected MP","09-Jan-2026","BALAJI INFRATECH","Payment Success","299130"
"4269","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP889/2025-2026/197798","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","23-Jan-2026","GHESADA GRUP GRAM PANCHAYAT","Payment Success","500000"
"4270","Punjab","Construction of community centers and community halls","WS/MP235/2026-2027/290362","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Jul-2026","SAGGU BUILDING MATERIAL","Payment Success","500000"
"4271","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/221356","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","18-Dec-2025","CHHAPRA GROUP GRAM PANCHAYAT","Payment Success","500000"
"4272","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/134713","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","30-Dec-2025","MURUGAN  k","Payment Success","2833040"
"4273","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/174519","Phalodi(DISTRICT COLLECTOR PHALODI_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","20-Jan-2026","GRAM PANCHAYAT MODKIYA","Payment Success","999996"
"4274","Telangana","Construction of community centers and community halls","WS/MP171/2025-2026/194363","SIDDIPET(District Collector Siddipet_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","04-Feb-2026","AKULA RAMESH","Payment Success","1830271"
"4275","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18291/2025-2026/156559","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","23-Dec-2025","KERALA GRAM PANCHAYAT","Payment Success","300000"
"4276","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP181/2025-2026/213817","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","25-May-2026","GAURI SHANKAR SARASWATI VIDYA MANDIR","Payment Success","187500"
"4277","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP181/2025-2026/213817","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","06-Feb-2026","GAURI SHANKAR SARASWATI VIDYA MANDIR","Payment Success","562500"
"4278","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2025-2026/251139","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","24-Dec-2025","MURALIKUMAR K","Payment Success","699020"
"4279","Assam","Construction of culverts and bridges","WS/MP831/2025-2026/144715","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","31-Dec-2025","JMI ENTERPRISE","Payment Success","750000"
"4280","Assam","Construction of boundary walls of existing public and community buildings","WS/MP831/2026-2027/226363","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","23-Jun-2026","JMI ENTERPRISE","Payment Success","750000"
"4281","Assam","Construction of culverts and bridges","WS/MP831/2025-2026/144715","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","03-Jul-2026","JMI ENTERPRISE","Payment Success","250000"
"4282","Madhya Pradesh","Construction of culverts and bridges","WS/MP18316/2024-2025/171664","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","19-Dec-2025","MD CONSTRUCTION","Payment Success","67968"
"4283","Madhya Pradesh","Construction of culverts and bridges","WS/MP18316/2024-2025/171664","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","19-Dec-2025","MD CONSTRUCTION","Payment Success","41580"
"4284","Tamil Nadu","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP166/2024-2025/163652","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","05-Jan-2026","GOKUL S","Payment Success","550000"
"4285","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP202/2025-2026/192484","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","30-Dec-2025","Poonam Singh","Payment Success","850075"
"4286","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP202/2025-2026/192484","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","13-Apr-2026","Poonam Singh","Payment Success","149925"
"4287","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP831/2025-2026/217305","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","06-Jan-2026","CC Construction of UN Brahma road at Bathoupuri Nwgwr","Payment Success","1500000"
"4288","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18291/2025-2026/209185","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","22-Dec-2025","FATEPUR GRAM PANCHAYAT","Payment Success","200000"
"4289","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18291/2025-2026/209186","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","22-Dec-2025","FATEPUR GRAM PANCHAYAT","Payment Success","200000"
"4290","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2024-2025/89402","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","15-Jul-2026","RIDHI SIDHI CONSTRUCTION","Payment Success","1000000"
"4291","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP18362/2025-2026/232458","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Banshilal Gurjar (2024-30) (2024-2030)","Elected MP","07-Jan-2026","ADARSH BAL SHIKSHAN SAMITI","Payment Success","500000"
"4292","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP18362/2025-2026/232458","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Banshilal Gurjar (2024-30) (2024-2030)","Elected MP","17-Jun-2026","ADARSH BAL SHIKSHAN SAMITI","Payment Success","500000"
"4293","Telangana","Construction of rooms and halls in school and colleges","WS/MP18374/2025-2026/218022","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","20-Dec-2025","JANAPAREDDY SATHYA SREERAMBABU","Payment Success","500000"
"4294","Telangana","Construction of rooms and halls in school and colleges","WS/MP18374/2025-2026/218023","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","20-Dec-2025","JANAPAREDDY SATHYA SREERAMBABU","Payment Success","500000"
"4295","Telangana","Construction of rooms and halls in school and colleges","WS/MP18374/2025-2026/218024","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","20-Dec-2025","JANAPAREDDY SATHYA SREERAMBABU","Payment Success","500000"
"4296","Telangana","Construction of rooms and halls in school and colleges","WS/MP18374/2025-2026/218025","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","20-Dec-2025","JANAPAREDDY SATHYA SREERAMBABU","Payment Success","500000"
"4297","Telangana","Construction of rooms and halls in school and colleges","WS/MP18374/2025-2026/218026","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","20-Dec-2025","JANAPAREDDY SATHYA SREERAMBABU","Payment Success","500000"
"4298","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/229713","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","23-Feb-2026","KVS Gharthoon","Payment Success","156116"
"4299","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/229714","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","11-Mar-2026","KVS Gharthoon","Payment Success","41925"
"4300","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/229702","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","20-Dec-2025","KVS Gharthoon","Payment Success","83148"
"4301","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP140/2024-2025/142019","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","24-Dec-2025","BALAJI CONTRACTORS","Payment Success","292228"
"4302","Punjab","Development of playfields and sports grounds","WS/MP140/2024-2025/142007","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","24-Dec-2025","BALAJI CONTRACTORS","Payment Success","82593"
"4303","Punjab","Construction of community centers and community halls","WS/MP140/2024-2025/142018","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","21-May-2026","BALAJI CONTRACTORS","Payment Success","280571"
"4304","Punjab","Development of playfields and sports grounds","WS/MP140/2024-2025/142007","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","21-May-2026","BALAJI CONTRACTORS","Payment Success","15405"
"4305","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP18316/2025-2026/248605","RAISEN(DISTRICT COLLECTOR RAISEN_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","19-May-2026","SWA SHREE SHER SINGH RAJPUT SHIKCHA AVAM SAMAJIK SAMITI","Payment Success","250000"
"4306","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP18316/2025-2026/248605","RAISEN(DISTRICT COLLECTOR RAISEN_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","23-Dec-2025","SWA SHREE SHER SINGH RAJPUT SHIKCHA AVAM SAMAJIK SAMITI","Payment Success","750000"
"4307","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/223726","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","30-Dec-2025","K G P S ENTERPRISES SHAMBHU SINGH","Payment Success","495809"
"4308","Jammu And Kashmir","Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","WS/MP839/2025-2026/252211","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","23-Mar-2026","GULZAR HUSSAIN","Payment Success","98000"
"4309","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/193317","Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","05-Jan-2026","aashirwad builders and contracter","Payment Success","994458"
"4310","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/232304","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","09-Jan-2026","MS Ganga Traders","Payment Success","225413"
"4311","Himachal Pradesh","Development of playground","WS/MP078/2025-2026/155419","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Feb-2026","GP Khuhan","Payment Success","50000"
"4312","Himachal Pradesh","Development of playground","WS/MP078/2025-2026/155434","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","18-Mar-2026","GP Khuhan","Payment Success","100000"
"4313","Himachal Pradesh","Development of playground","WS/MP078/2025-2026/155434","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","31-Dec-2025","GP Khuhan","Payment Success","100000"
"4314","Himachal Pradesh","Development of playground","WS/MP078/2025-2026/155419","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","17-Jan-2026","GP Khuhan","Payment Success","50000"
"4315","Uttar Pradesh","Construction of community centers and community halls","WS/MP203/2025-2026/227583","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","23-Dec-2025","RAJVANSH ENTERPRISES","Payment Success","291210"
"4316","Uttar Pradesh","Construction of community centers and community halls","WS/MP203/2025-2026/227583","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","09-Apr-2026","RAJVANSH ENTERPRISES","Payment Success","207045"
"4317","Himachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18304/2025-2026/221010","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","02-Jan-2026","Jagdish Chand","Payment Success","400000"
"4318","Himachal Pradesh","Construction of community centers and community halls","WS/MP078/2025-2026/25314","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","28-Jul-2026","G P NAGNI","Payment Success","147916"
"4319","Himachal Pradesh","Construction of community centers and community halls","WS/MP078/2025-2026/25314","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","12-Jan-2026","G P NAGNI","Payment Success","147000"
"4320","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP192/2025-2026/171808","BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","23-Feb-2026","JAI HIND EDUCATION WELFARE SOCIETY","Payment Success","404066"
"4321","Chandigarh","Providing drains and gutters for public drainage","WS/MP18365/2025-2026/191964","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","29-Dec-2025","Pappu","Payment Success","91728"
"4322","Chandigarh","Providing drains and gutters for public drainage","WS/MP18365/2025-2026/191964","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","17-Feb-2026","Pappu","Payment Success","91723"
"4323","Chandigarh","Providing drains and gutters for public drainage","WS/MP18365/2025-2026/191964","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","17-Apr-2026","Pappu","Payment Success","91728"
"4324","Chhattisgarh","Construction of community centers and community halls","WS/MP176/2025-2026/243279","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","24-Dec-2025","SARPANCH GRAM PANCHAYAT CHULGAHAN","Payment Success","350000"
"4325","Chhattisgarh","Construction of community centers and community halls","WS/MP176/2025-2026/243141","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","12-Jan-2026","SARPANCH GRAM PANCHAYAT MOTIPUR","Payment Success","350000"
"4326","Tamil Nadu","Installing tube-wells and borewells","WS/MP166/2025-2026/222808","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","24-Dec-2025","JAS JOHNPETER","Payment Success","1198626"
"4327","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP220/2024-2025/171199","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Derek O' Brien (2023-29) (2023-2029)","Elected MP","25-Dec-2025","MODERN SURGICALCOMPAY","Payment Success","5200608"
"4328","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/223729","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","30-Dec-2025","MINU KUMAR","Payment Success","496361"
"4329","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/223727","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","09-Jan-2026","MINU KUMAR","Payment Success","496095"
