"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"22760","Normal/Others","NA-Construction of community centers and community halls","Assam","DIBRUGARH(DEPUTY COMMISSIONER DIBRUGARH_IDA)","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","Construction of Public Hall near 1 No. Nasoni Gaon Namghar,Rajgarh Dev.Block","18-Jul-2026","1000000","NA"
"22761","Normal/Others","NA-Construction of rooms and halls in school and colleges","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","NOIDA SECTOR 46 ME STITH BHAWANI SHANKAR INTER COLLEGE SADAR SARAI KE CLASSROOM NIRMAN HETU","19-Jul-2026","1000000","NA"
"22762","Normal/Others","NA-Lighting of public spaces","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing 10mt Octagonal Hi-Mast LED flood lights near goshala Sripada chaya Ashramam in Panchadevpad","18-Jul-2026","300000","NA"
"22763","Normal/Others","NA-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing Granite flooring to steps 1st and 2nd floor of Community hall near Datta temple in Panchadevpad","18-Jul-2026","450000","NA"
"22764","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Laying of CC Road from Telugu Balaiah plot to Gante Pedda Narasappa and Providing gate to school in Katrevpally","18-Jul-2026","250000","NA"
"22765","Normal/Others","NA-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing railing to steps and waranda to 1st and 2nd floor of Community hall near datta temple in Panchadevpad","18-Jul-2026","400000","NA"
"22766","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Chandigarh","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Construction of Internal Road near Ravi Dass Dharamshala, village Dhanas, Chandigarh","18-Jul-2026","300000","NA"
"22767","Normal/Others","WS/MP18365/2026-2027/296794-Purchase of training equipment","Chandigarh","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","purchase of equipment required for livelihood generation and skill development activities, including sewing/tailoring machines, Computers and other essential equipment, for Parakh Mahila Gram Sangathan, Aajivika Mission, Jarout. The equipment will be used to strengthen women's self-employment opportunities, enhance vocational skills and promote sustainable livelihood activities through the centre being run by the Sangathan at Village Sangotha.","18-Jul-2026","499615","03-Sep-2026"
"22768","Normal/Others","NA-Construction of community centers and community halls","Chandigarh","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Construction of a Community Hall at Village Hedon (112), Block Machhiwara, Tehsil Samrala, District Ludhiana, to provide a common public facility for social, cultural, educational, and community welfare activities, meetings, awareness programmes, training programmes, and public gatherings. The project will strengthen community infrastructure by creating a safe, accessible, and functional space for the benefit of the local residents.","18-Jul-2026","500000","NA"
"22769","Repair and Renovation","NA-Construction of buildings for community cultural activities","Assam","Biswanath(Deputy Commissioner Biswanath_IDA)","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","Re Construction of Dakhin Kalabari Shivmandir,LAC-Gahpur,784169","19-Jul-2026","3000000","NA"
"22770","Normal/Others","NA-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Smt. Maya Chintaman Ivnate (2026-32) (2026-2032)","Elected MP","Setting up a digital classroom at C.P. and Berar High School, Ravi Nagar, Nagpur.","19-Jul-2026","500000","NA"
"22771","Normal/Others","NA-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Smt. Maya Chintaman Ivnate (2026-32) (2026-2032)","Elected MP","Setting up a digital classroom at Yashwant High School, Gumgaon, Hingna, Nagpur","19-Jul-2026","500000","NA"
"22772","Normal/Others","NA-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Smt. Maya Chintaman Ivnate (2026-32) (2026-2032)","Elected MP","Setting up a digital classroom at Ramnagar Bharat Vidhyala, Ramnagar, Nagpur","19-Jul-2026","500000","NA"
"22773","Normal/Others","NA-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Smt. Maya Chintaman Ivnate (2026-32) (2026-2032)","Elected MP","Setting up a digital classroom at Sarvodaya High School, Hingna, Nagpur","19-Jul-2026","500000","NA"
"22774","Trust and Society","NA-Construction of additional rooms and halls in the existing public and community building","Chandigarh","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Construction of a first-floor block at the Rotary Vocational Training Centre, Ropar, comprising two rooms and toilet facilities.","19-Jul-2026","500000","NA"
"22775","Normal/Others","NA-Purchase of mobile water tankers","Punjab","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Purchase of Mobile water tanker","19-Jul-2026","365800","NA"
"22776","Normal/Others","NA-Purchase of mobile water tankers","Punjab","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Purchase of Water Tanker","19-Jul-2026","365800","NA"
"22777","Normal/Others","NA-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Purchase of Mobile water tanker","19-Jul-2026","365800","NA"
"22778","Normal/Others","NA-Installation of multi-gym equipment","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Purchase of Gym equipment","19-Jul-2026","300000","NA"
"22779","Normal/Others","NA-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Purchase of Mobile water tanker","19-Jul-2026","365800","NA"
"22780","Normal/Others","WS/MP140/2026-2027/296965-Renovation of ponds and lakes","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","To make all four sides of the pond solid (four walls)","19-Jul-2026","1100000","20-Aug-2026"
"22781","Normal/Others","NA-Providing supply pipelines for drinking water","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","To lay a pipeline for the drainage of wastewater","19-Jul-2026","600000","NA"
"22782","Normal/Others","WS/MP204/2026-2027/296993-Fitting of Sitting RCC Benches in Public Places","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Arrangement of seven benches for seating at the Maharaja Shoorsen Ghat (canal bank) in Roorkee.","19-Jul-2026","70000","04-Aug-2026"
"22783","Normal/Others","WS/MP204/2026-2027/296995-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a boundary wall at the Roorkee Awas Vikas Parishad community center.","19-Jul-2026","2000000","04-Aug-2026"
"22784","Normal/Others","NA-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of a Reading Room at Sumersingh Lunasingh Ka Vaas, Revenue Village Dawara, Gram Panchayat Dawara, Panchayat Samiti Fatehgarh, District Jaisalmer","20-Jul-2026","1500000","NA"
"22785","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Gravel Road from Salka towards Hingolsingh Temple, Village Salka, Gram Panchayat Salka, Panchayat Samiti Sam, District Jaisalmer","20-Jul-2026","1500000","NA"
"22786","Normal/Others","NA-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Reading Room at Sanwalsingh Dungarsingh Ka Vaas, Village Delasar, Gram Panchayat Sodakor, Panchayat Samiti Jaisalmer, District Jaisalmer","20-Jul-2026","1000000","NA"
"22787","Normal/Others","NA-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Reading Room Centre at Dashrath Singh Bhomsingh Ka Vaas, Village Khariya, Gram Panchayat Chhatagarh, Panchayat Samiti Sam, District Jaisalmer","20-Jul-2026","1000000","NA"
"22788","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Gravel Road from Damar Road towards Lunasingh Haathisingh Ki Kotri, Gram Panchayat Lunar, Panchayat Samiti Sam, District Jaisalmer","20-Jul-2026","1000000","NA"
