"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"3193","Normal/Others","WS/MP838/2024-2025/94208-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Hanumanthawadi Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3194","Normal/Others","WS/MP838/2024-2025/94211-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Bagadoori Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3195","Normal/Others","WS/MP838/2024-2025/94213-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Hirenagaon Milk Producers Cooperative Society","02-Feb-2024","36000","16-Oct-2024"
"3196","Normal/Others","WS/MP838/2024-2025/94218-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Kherda B Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3197","Normal/Others","WS/MP838/2024-2025/94237-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Dhannura R Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3198","Normal/Others","WS/MP838/2024-2025/94240-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Chicknagaon Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3199","Normal/Others","WS/MP838/2024-2025/94241-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Yalavanthagi Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3200","Normal/Others","WS/MP838/2024-2025/94242-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Ekalora Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3201","Normal/Others","WS/MP838/2024-2025/94243-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Mudabi Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3202","Trust and Society","WS/MP145/2023-2024/94244-Construction of rooms and halls in school and colleges","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","CONSTRUCTION OF BUILDING/LIBRARY IN DR. AMBEDKAR HOSTEL, RADHAKISHANPURA (SIKAR) RUN BY ZILA SIKAR SC AND ST KALYAN SMITI SIKAR","02-Feb-2024","416895","26-Feb-2024"
"3203","Trust and Society","WS/MP145/2023-2024/94245-Construction of rooms and halls in school and colleges","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","CONSTRUCTION OF BUILDING/LIBRARY IN DR. AMBEDKAR HOSTEL, RADHAKISHANPURA (SIKAR) RUN BY ZILA SIKAR SC AND ST KALYAN SMITI SIKAR","02-Feb-2024","650077","26-Feb-2024"
"3204","Normal/Others","WS/MP838/2024-2025/94247-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Jajanamugali Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3205","Normal/Others","WS/MP838/2024-2025/94248-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Umapura Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3206","Normal/Others","WS/MP838/2024-2025/94249-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ghotala Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3207","Normal/Others","WS/MP838/2024-2025/94251-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Devanala Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3208","Normal/Others","WS/MP838/2024-2025/94252-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Betabalakunda Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3209","Normal/Others","WS/MP838/2024-2025/94254-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ramatheertha K  Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3210","Normal/Others","WS/MP838/2024-2025/94255-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Morakhandi Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3211","Normal/Others","WS/MP838/2024-2025/94256-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Paratapura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3212","Normal/Others","WS/MP838/2024-2025/94258-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Mirakhal Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3213","Normal/Others","WS/MP838/2024-2025/94259-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Mirakhal Thanda Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3214","Normal/Others","WS/MP838/2024-2025/94262-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Belura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3215","Normal/Others","WS/MP838/2024-2025/94264-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (4 No's) to Gadigowdagaon Milk Producers Cooperative Society","02-Feb-2024","14400","16-Oct-2024"
"3216","Normal/Others","WS/MP838/2024-2025/94266-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Chalakapura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3217","Normal/Others","WS/MP838/2024-2025/94267-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Maasi Mooda Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3218","Normal/Others","WS/MP838/2024-2025/94269-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Baradapura Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3219","Normal/Others","WS/MP838/2024-2025/94270-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Yenakura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3220","Normal/Others","WS/MP838/2024-2025/94271-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Haranala Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3221","Normal/Others","WS/MP838/2024-2025/94273-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Chandapura Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3222","Normal/Others","WS/MP838/2024-2025/94275-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Siddeshwara Wadi Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3223","Normal/Others","WS/MP838/2024-2025/94277-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Siddeshwara Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3224","Normal/Others","WS/MP838/2024-2025/94281-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Maroora Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3225","Normal/Others","WS/MP838/2024-2025/94289-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Godhi Hipparaga Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3226","Normal/Others","WS/MP838/2024-2025/94290-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Nelagi Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3227","Normal/Others","WS/MP838/2024-2025/94293-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Hunaji K Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3228","Normal/Others","WS/MP838/2024-2025/94295-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Halahalli Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3229","Normal/Others","WS/MP838/2024-2025/94298-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Byalahalli Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3230","Normal/Others","WS/MP838/2024-2025/94299-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Thungaon K Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3231","Normal/Others","WS/MP838/2024-2025/94301-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Neelamanahalli Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3232","Normal/Others","WS/MP838/2024-2025/94314-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ganesharapura wadi Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3233","Normal/Others","WS/MP838/2024-2025/94316-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Halahipparaga Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3234","Normal/Others","WS/MP838/2024-2025/94318-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Malachapura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3235","Normal/Others","WS/MP838/2024-2025/94319-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Dhanura H Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3236","Normal/Others","WS/MP838/2024-2025/94324-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Islampura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3237","Normal/Others","WS/MP838/2024-2025/94326-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Janawada Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3238","Normal/Others","WS/MP838/2024-2025/94327-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Aliambara Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3239","Normal/Others","WS/MP838/2024-2025/94328-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Rajanala Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3240","Normal/Others","WS/MP838/2024-2025/94329-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Vilasapura Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3241","Normal/Others","WS/MP838/2024-2025/94330-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (4 No's) to Sanganalli Milk Producers Cooperative Society","02-Feb-2024","14400","16-Oct-2024"
"3242","Normal/Others","WS/MP838/2024-2025/94334-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Yaranalli Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3243","Normal/Others","WS/MP838/2024-2025/94335-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Bampalli Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3244","Normal/Others","WS/MP838/2024-2025/94342-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Hippalagaon Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3245","Normal/Others","WS/MP838/2024-2025/94347-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Srimandala Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3246","Normal/Others","WS/MP838/2024-2025/94363-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Khanapura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3247","Normal/Others","WS/MP838/2024-2025/94364-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Chamboola Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3248","Normal/Others","WS/MP838/2024-2025/94367-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Navalasapura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3249","Normal/Others","WS/MP838/2024-2025/94368-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Phathepura Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3250","Normal/Others","WS/MP838/2024-2025/94374-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Daddapura Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3251","Normal/Others","WS/MP838/2024-2025/94376-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Chimakoda Milk Producers Cooperative Society","02-Feb-2024","36000","16-Oct-2024"
"3252","Normal/Others","WS/MP838/2024-2025/94378-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Marakhala Milk Producers Cooperative Society","02-Feb-2024","36000","16-Oct-2024"
"3253","Normal/Others","WS/MP838/2024-2025/94379-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Kanganakota Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3254","Normal/Others","WS/MP838/2024-2025/94381-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Bhavagi Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3255","Normal/Others","WS/MP838/2024-2025/94383-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Sangolagi Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3256","Normal/Others","WS/MP838/2024-2025/94400-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Thadapalli Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3257","Normal/Others","WS/MP838/2024-2025/94402-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Patharapalli Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3258","Normal/Others","WS/MP838/2024-2025/94406-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Shekhapura Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3259","Normal/Others","WS/MP838/2024-2025/94411-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Honnaddi Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3260","Normal/Others","WS/MP838/2024-2025/94414-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Chattanalli Milk Producers Cooperative Society","02-Feb-2024","36000","16-Oct-2024"
"3261","Normal/Others","WS/MP838/2024-2025/94426-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Sindhola Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3262","Normal/Others","WS/MP838/2024-2025/94448-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Rajagira Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3263","Normal/Others","WS/MP838/2024-2025/94449-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Hokrana B Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3264","Normal/Others","WS/MP838/2024-2025/94452-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Cheethalagera Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3265","Normal/Others","WS/MP838/2024-2025/94490-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Barura Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3266","Normal/Others","WS/MP838/2024-2025/94493-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Chitta Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
