"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"2814","Normal/Others","WS/MP192/2023-2024/81624-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , kasba Jewar me Khurja Jewar Road ke samne yatri shed ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-MLA Dhirendra Singh-9412225444","13-Jan-2024","07-Mar-2024","659782","Physical Inspection"
"2815","Normal/Others","WS/MP192/2023-2024/81625-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Nagar Panchayat jahangirpur me prachin shiv mandir chauk Jhajhar Road per. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-MLA Dhirendra Singh-9412225444","13-Jan-2024","07-Mar-2024","659782","Physical Inspection"
"2816","Normal/Others","WS/MP192/2023-2024/81626-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Lighting of public spaces.(Eight light wali) , Nagar Panchayat jahangirpur me Main market road Atar singh ke gate ke pass Sachin meena ki dukan ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-MLA Dhirendra Singh-9412225444","13-Jan-2024","07-Mar-2024","659782","Physical Inspection"
"2817","Normal/Others","WS/MP192/2023-2024/81627-Installing community drinking water plants","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Public Drinking Water /ATM- Village Piyawali me pathwari mandir par. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Nitesh Sishodiya-9717662250","13-Jan-2024","07-Mar-2024","984000","Vendor Identification"
"2818","Normal/Others","WS/MP192/2023-2024/81628-Installing community drinking water plants","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Public Drinking Water /ATM- Jila karyalay Bhajpa tilapta karanwash ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr. Contact- Gajendra mavi-9899167108","13-Jan-2024","07-Mar-2024","984000","Vendor Identification"
"2819","Normal/Others","WS/MP192/2023-2024/81629-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village Piyawali Tajpur Jatav Basti ke pass. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact- Nitesh Sishodiya-9717662250","13-Jan-2024","07-Mar-2024","805000","Vendor Identification"
"2820","Normal/Others","WS/MP192/2023-2024/81630-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Eldeco society G.Noida ke pass. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact- Gajendra Mavi-9899167108","13-Jan-2024","07-Mar-2024","805000","Vendor Identification"
"2821","Normal/Others","WS/MP192/2023-2024/81631-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village Dujana stedium par. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. ContacInstallation of Multy-Gym Equipment- Village Dujana stedium par. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact- Ompal Pradhan-9810539808 t- Ompal Pradhan-9810539808","13-Jan-2024","07-Mar-2024","805000","Vendor Identification"
"2822","Normal/Others","WS/MP192/2023-2024/81632-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village ladpura me panchayat Ghar me. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact- Amit Bhati-09311999155","13-Jan-2024","07-Mar-2024","805000","Vendor Identification"
"2823","Normal/Others","WS/MP192/2023-2024/81633-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village Ghanghola me Barat Ghar me. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact-Rajesh p- 9311624720","13-Jan-2024","07-Mar-2024","805000","Vendor Identification"
"2824","Normal/Others","WS/MP192/2023-2024/81634-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village Kanarsi me tainki ke maidan me. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact-Rajeev Nagar-9811722900","13-Jan-2024","07-Mar-2024","805000","Vendor Identification"
"2825","Normal/Others","WS/MP192/2023-2024/81637-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village Dadupur me Samll Park par. Working -Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr.. Contact- Sultan Nagar-9412540707","13-Jan-2024","07-Mar-2024","805000","Vendor Identification"
"2826","Normal/Others","WS/MP186/2023-2024/81741-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","reterning wall and beautification","14-Jan-2024","23-Feb-2024","4989848","Physical Inspection"
"2827","Normal/Others","WS/MP186/2023-2024/81744-Construction of shelters for animals","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of chaff warehouse and boundary wall for public destitute cow shelter.","14-Jan-2024","23-Feb-2024","4596799","Physical Inspection"
"2828","Normal/Others","WS/MP186/2023-2024/81746-Construction of night shelters for homeless","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of night shelter at public place near Badauna Baba","14-Jan-2024","10-Mar-2024","1994193","Physical Inspection"
"2829","Normal/Others","WS/MP186/2023-2024/81749-Construction of rainwater harvesting structures","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Beautification work of Amrit Sarovar Pond","14-Jan-2024","23-Feb-2024","4000000","Vendor Identification"
"2830","Normal/Others","WS/MP186/2023-2024/81750-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","CC construction work up to Scheduled Basti, Baya Mandir, length 300m, width 400m.","14-Jan-2024","23-Feb-2024","3000000","Physical Inspection"
"2831","Normal/Others","WS/MP186/2023-2024/81752-Construction of culverts and bridges","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Flat construction on Machhehua drain","14-Jan-2024","23-Feb-2024","4000000","Physical Inspection"
"2832","Normal/Others","WS/MP186/2023-2024/81754-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","CC construction length 500m from main road to Kol Basti.","14-Jan-2024","22-Feb-2024","3000000","Vendor Identification"
"2833","Normal/Others","WS/MP186/2023-2024/81756-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Inter locking length 400m from City Link Road Ithiya to Parman Patti Basti.","14-Jan-2024","23-Feb-2024","2500000","Physical Inspection"
"2834","Normal/Others","WS/MP186/2023-2024/81758-Construction of night shelters for homeless","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of night shelter at public place near Kanothi Ashram","14-Jan-2024","23-Feb-2024","4000000","Vendor Identification"
"2835","Normal/Others","WS/MP186/2023-2024/81759-Purchase of non-conventional energy system and devices for community use","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Work of solar light and solar pump at public place near Shri Krishna Yoga Maya Ashram Ashtbhuja.","14-Jan-2024","06-Mar-2024","3000000","Work partially Completed"
"2836","Normal/Others","WS/MP186/2023-2024/81760-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of CC road and retaining wall from the house of Shri Shyam Dhar Tiwari to Chaura Mai Mandir Tirahe.","14-Jan-2024","27-Feb-2024","3000000","Vendor Identification"
"2837","Normal/Others","WS/MP186/2023-2024/81764-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of boundary wall of Ayurveda Hospital Kota Ghat","14-Jan-2024","23-Feb-2024","3000000","Vendor Identification"
"2838","Normal/Others","WS/MP186/2023-2024/81766-Renovation of ponds and lakes","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction of Amrit Sarovar Pond in Gram Panchayat Baidha","14-Jan-2024","21-Feb-2024","4000000","Vendor Identification"
"2839","Normal/Others","WS/MP186/2023-2024/81767-Construction of culverts and bridges","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction progressed on Setuhar drain","14-Jan-2024","23-Feb-2024","4600000","Physical Inspection"
"2840","Normal/Others","WS/MP186/2024-2025/81771-Construction of public toilets and bathrooms","Uttar Pradesh","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","construction of community toilets.","14-Jan-2024","06-Nov-2024","1500000","Work partially Completed"
"2841","Normal/Others","WS/MP186/2023-2024/81778-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction of ghat on Sewati river","14-Jan-2024","21-Feb-2024","3000000","Vendor Identification"
"2842","Normal/Others","WS/MP186/2023-2024/81780-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","construction of boundary wall of wedding house.","14-Jan-2024","21-Feb-2024","2990972","Physical Inspection"
"2843","Normal/Others","WS/MP186/2023-2024/81782-Construction of community centers and community halls","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","wedding house construction work.","14-Jan-2024","23-Feb-2024","4000000","Physical Inspection"
"2844","Repair and Renovation","WS/MP186/2024-2025/81785-Street lights","Uttar Pradesh","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","High mask solar light at the intersection of Dilip Nishad in Nishad Tola Basti in Maheva.","14-Jan-2024","06-Nov-2024","150000","Work partially Completed"
"2845","Normal/Others","WS/MP186/2023-2024/81788-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of Barauha Umaria Instrument Cooperative Society Boundary Wall","14-Jan-2024","21-Feb-2024","2000000","Vendor Identification"
"2846","Normal/Others","WS/MP186/2023-2024/81790-Construction of shelters for animals","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Chaff warehouse and boundary construction work for public destitute cow shelter.","14-Jan-2024","21-Feb-2024","4600000","Vendor Identification"
"2847","Normal/Others","WS/MP186/2025-2026/81793-Construction of buildings for community cultural activities","Uttar Pradesh","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Maharana Pratap Memorial Gate in Gram Panchayat Madhopur Chhatauna Block Jaisinghpur District Sultanpur.","14-Jan-2024","05-Jul-2025","1000000","Work partially Completed"
"2848","Normal/Others","WS/MP186/2023-2024/81794-Construction of night shelters for homeless","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of night shelter at public place at Mahadev Temple.","14-Jan-2024","21-Feb-2024","2989858","Physical Inspection"
"2849","Normal/Others","WS/MP186/2023-2024/81997-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar light in Khel Maidan","14-Jan-2024","21-Feb-2024","131736","Physical Inspection"
"2850","Normal/Others","WS/MP186/2023-2024/81998-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar in main basti manju chauraha","14-Jan-2024","21-Feb-2024","131736","Physical Inspection"
"2851","Normal/Others","WS/MP186/2023-2024/81999-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar light in Pal Basti Haridas Pal Chauraha","14-Jan-2024","21-Feb-2024","131736","Physical Inspection"
"2852","Normal/Others","WS/MP186/2023-2024/82000-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar Light in Ghorahawa Shankar Mandir","14-Jan-2024","21-Feb-2024","131736","Physical Inspection"
"2853","Normal/Others","WS/MP186/2023-2024/82001-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar Light in Sadhan Sahkar Samiti Campus","14-Jan-2024","21-Feb-2024","131736","Physical Inspection"
"2854","Normal/Others","WS/MP186/2023-2024/82002-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar in Nahar Chauraha Barya","14-Jan-2024","21-Feb-2024","131736","Physical Inspection"
"2855","Normal/Others","WS/MP186/2023-2024/82003-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar Light in Kol Basti Chauraha","14-Jan-2024","21-Feb-2024","131736","Physical Inspection"
"2856","Normal/Others","WS/MP186/2023-2024/82004-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar Light in Aura Ashram","14-Jan-2024","21-Feb-2024","131736","Physical Inspection"
"2857","Normal/Others","WS/MP186/2023-2024/82005-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar Light in Hanuman Mandir Mahokhar","14-Jan-2024","21-Feb-2024","131736","Physical Inspection"
"2858","Normal/Others","WS/MP186/2025-2026/82007-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar Light At public place near of Hanumand Mandir","14-Jan-2024","28-Jun-2025","132000","Vendor Identification"
"2859","Normal/Others","WS/MP186/2025-2026/82008-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar Light in Kol Basti","14-Jan-2024","28-Jun-2025","132000","Vendor Identification"
"2860","Normal/Others","WS/MP186/2025-2026/82009-Lighting of public spaces","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","1 Solar Light At public place near Gurudev Nagar Ashram","14-Jan-2024","28-Jun-2025","132000","Vendor Identification"
"2861","Normal/Others","WS/MP180/2023-2024/82128-Construction of rooms and halls in school and colleges","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","1. Table and chair in Library 2. Projector in Smart Room 3. Solar panel in school","15-Jan-2024","12-Mar-2024","684177","Physical Inspection"
"2862","Normal/Others","WS/MP180/2023-2024/82323-Street lights","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","New high mast light","15-Jan-2024","29-Feb-2024","124937","Physical Inspection"
"2863","Normal/Others","WS/MP180/2023-2024/82328-Street lights","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","New high mast light","15-Jan-2024","29-Feb-2024","124925","Physical Inspection"
"2864","Normal/Others","WS/MP180/2023-2024/82395-Street lights","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","New high mast light","15-Jan-2024","29-Feb-2024","124937","Physical Inspection"
"2865","Normal/Others","WS/MP147/2023-2024/82553-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","sampark sadak se gaayadasinh kee dhaaniyon tak greval sadak nirmaan kaary.","16-Jan-2024","15-Mar-2024","1000000","Vendor Identification"
"2866","Normal/Others","WS/MP201/2024-2025/82725-Construction of rooms and halls in school and colleges","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","construction of 3 rooms in shri ranjit pandit intermediate college, shahjadpur,kaushambi","16-Jan-2024","12-Dec-2024","500000","Physical Inspection"
"2867","Normal/Others","WS/MP001/2023-2024/82731-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","Construction work of PCC Road in the path Going North from Bathani of Sunil ji House in Chanda Village of Sabnima Panchayat of Athmalgola Block under Barh Assembly Constituency of Patna District (Total Amount Rs.6,00,000/- Six Lakh Only)","16-Jan-2024","30-Jan-2024","574168","Physical Inspection"
"2868","Normal/Others","WS/MP141/2023-2024/82792-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Punjab","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","repair/renovation of main block (part-A) ground flour at PHC kiratpur sahib distt rupnagar","16-Jan-2024","28-Feb-2024","5000000","Vendor Identification"
"2869","Normal/Others","WS/MP001/2023-2024/82807-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","LAKHISARAI(District Planning Officer Lakhisarai_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","Construction work of PCC road from Rural Main Road to Satyanarayan Mandal House via Ashok Mandal House to Anant Mandal House in Khagaur village of Khagaur Panchayat under Lakhisarai Block of Lakhisarai District.(Total Amount Rs.4,00,000/- Four Lakh Only)","16-Jan-2024","12-Mar-2024","396136","Physical Inspection"
"2870","Normal/Others","WS/MP147/2024-2025/83255-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Intaraloking Sadak Nirmaan Kaarya Daamar Sadak se Vabhootonee Bhilon kee dhaanee tak, laakholaee naadi","17-Jan-2024","02-Sep-2024","1000000","Work Completed"
"2871","Normal/Others","WS/MP147/2023-2024/84128-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Construction of CC Road near the temple from CC Road in Baba Ghuisarnath Dham Kumbhapur area.","28-Dec-2023","16-Mar-2024","1226037","Physical Inspection"
"2872","Normal/Others","WS/MP188/2023-2024/84132-Construction of buildings for sports facilities","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","I am sanctioning Rs 40 lakhs towards the construction of a wrestling hall (dimensions 40 ft x 60 ft) at Rashtriya Inter College, Shahpur. I request you to directly disperse the funds to the college authorities to begin the construction","18-Jan-2024","15-Mar-2024","3972000","Work Completed"
"2873","Normal/Others","WS/MP188/2023-2024/84152-Construction of buildings for sports facilities","Uttar Pradesh","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","This amount of Rs 20 lakhs is being sanctioned for the construction of a handball court and a tennis court at BSA College, Mathura. Please disperse the amount directly to the college authorities so that they can begin construction.","18-Jan-2024","07-Mar-2024","2000000","Work partially Completed"
"2874","Normal/Others","WS/MP106/2023-2024/84187-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Ek nalkup khanan, Motor Pump aur recharge pit ke sath, shyam Nagar Main Ward No.21, Indore (mention in letter no. 3464 in column no.1)","18-Jan-2024","14-Feb-2024","358426","Physical Inspection"
"2875","Normal/Others","WS/MP106/2023-2024/84191-Installing tube-wells and borewells","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Ek nalkup khanan, Motor Pump aur recharge pit ke sath, Bhagya Laxmi colony Main Ward No.21, Indore (mention in letter no. 3464 in column no.2)","18-Jan-2024","14-Feb-2024","357999","Physical Inspection"
"2876","Normal/Others","WS/MP106/2024-2025/84197-Purchase of hospital equipment","Madhya Pradesh","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Civil Hospital Nainpur ke liye Hemo  dialysis machine with RO plant including CGST & SGST, Brand-Trivitron Health care PVT LTD, Model Nikiso DBB 27, Nainpur, District Mandla (Mention in letter no. 3461 in column no. 1)","18-Jan-2024","24-Oct-2024","924000","Work partially Completed"
"2877","Normal/Others","WS/MP106/2024-2025/84203-Purchase of hospital equipment","Madhya Pradesh","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Civil Hospital Nainpur ke liye Mindre M-6 Ultra Sound Diagnostic System, with CGST & SGST, Nainpur, District Mandla (Mention in letter no. 3461 in column no. 2)","18-Jan-2024","24-Oct-2024","990000","Work partially Completed"
"2878","Normal/Others","WS/MP106/2023-2024/84228-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Lauhari (Sukha), Janpad Panchayat Patan ke gram Lauhari (Sukha) main Pooja Soni ke ghar se Wakil Patel ke ghar ki aor, CC Road evam Nali Nirman, Jabalpur","18-Jan-2024","28-Feb-2024","700000","Physical Inspection"
"2879","Trust and Society","WS/MP145/2024-2025/84526-Construction of toilet blocks","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","6 TOILETS ON FIRST FLOOR AND 6 TOILETS ON GROUND FLOOR DEVELOPMENT WORK FOR STUDENTS IN ADARSH VIDYA MANDIR SCHOOL, SANWALI MARG SIKAR","19-Jan-2024","19-Jul-2024","1498732","Physical Inspection"
"2880","Normal/Others","WS/MP850/2023-2024/84690-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","VILLAGE DARIYAPUR MEIN MAIN ROAD SE PANCHAYAT BHAWAN KI AUR CC ROAD KA NIRMAN IA(NAGAR PANCHAYAT PADALI GUJJAR)","19-Jan-2024","27-Jan-2024","573051","Physical Inspection"
"2881","Normal/Others","WS/MP850/2023-2024/84691-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","RAJENDRA NAGAAR SAFIPUR MEIN MAIN ROAD DINESH SINGH RAWAT KE MAKAN SE SANJEEV KE MAKAN TAK CC ROAD EVAM NALI NIRMAN.. IA(KARYADAI SANTATHA - NAGAR PANCHAYAT PADALI GUJJAR)","19-Jan-2024","27-Jan-2024","243116","Physical Inspection"
