"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"9629","Normal/Others","WS/MP099/2025-2026/190139-Purchase of IT systems, including hardware and software for educational purposes","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Purchase of Laptops for CPNS Government Higher Secondary School, Mathamangalam, Eramam Village, Payyanur Taluk, Kannur District","25-Apr-2025","14-Jan-2026","300000","Sanction"
"9630","Normal/Others","WS/MP18304/2025-2026/190142-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of pacca pathway form kalsubai to ukhreli gp Janghi dev block mehla","11-Apr-2025","02-May-2025","200000","Work Completed"
"9631","Normal/Others","WS/MP18304/2025-2026/190144-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of amulance road links road to pukhri dev block mehla","11-Apr-2025","02-May-2025","200000","Physical Inspection"
"9632","Normal/Others","WS/MP18304/2025-2026/190145-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pacca path from  main road to Panihar kalsubai dev block mehla","11-Apr-2025","02-May-2025","200000","Work Completed"
"9633","Normal/Others","WS/MP18304/2025-2026/190147-Construction of community centers and community halls","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of samudayik bhawan saraina chho dev block mehla","11-Apr-2025","05-May-2025","300000","Vendor Identification"
"9634","Normal/Others","WS/MP18304/2025-2026/190148-Construction of community centers and community halls","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of mahila mandal from talara bhawan nirman village shahdhar teh rampur","11-Apr-2025","23-Jun-2025","200000","Work partially Completed"
"9635","Normal/Others","WS/MP18304/2025-2026/190150-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of flood cntrol embankment from mauja badhaiya dev block mashobra","11-Apr-2025","10-Jun-2025","200000","Work Completed"
"9636","Normal/Others","WS/MP108/2025-2026/190162-Street lights","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Instalation of LED Flood street light at Masod, Chandurbajar","09-Apr-2025","06-Aug-2025","300000","Sanction"
"9637","Normal/Others","WS/MP18304/2025-2026/190163-Development of playfields and sports grounds","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Prathmik Pathshala (retaining wall at gps kanda (Play ground)","11-Apr-2025","22-Jul-2025","500000","Vendor Identification"
"9638","Normal/Others","WS/MP108/2025-2026/190164-Construction of community centers and community halls","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at kopargaon","09-Apr-2025","11-Apr-2025","1000000","Work Completed"
