"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2730","Odisha","Establishing public ground water recharging facilities","WS/MP138/2025-2026/204689","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","04-Apr-2026","RAMAKRUSHNA MOHAPATRA","Payment Success","155000"
"2731","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18383/2025-2026/219810","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","09-Apr-2026","SUBRATA GHOSH","Payment Success","853892"
"2732","Himachal Pradesh","Construction of community centers and community halls","WS/MP078/2025-2026/199248","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GVC shour Dhature Pangi","Payment Success","270000"
"2733","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/274842","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Apr-2026","Sidhu Cemet Store","Payment Success","48750"
"2734","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/274842","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Apr-2026","Sidhu Cemet Store","Payment Success","17700"
"2735","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/268813","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Apr-2026","Sidhu Cemet Store","Payment Success","183360"
"2736","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274845","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Apr-2026","Sidhu Cemet Store","Payment Success","161850"
"2737","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274845","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Apr-2026","Sidhu Cemet Store","Payment Success","37400"
"2738","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274845","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Apr-2026","Sidhu Cemet Store","Payment Success","59850"
"2739","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274845","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Apr-2026","Sidhu Cemet Store","Payment Success","35000"
"2740","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274845","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Apr-2026","Sidhu Cemet Store","Payment Success","32550"
"2741","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274844","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Apr-2026","Sidhu Cemet Store","Payment Success","147420"
"2742","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274844","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Apr-2026","Sidhu Cemet Store","Payment Success","33000"
"2743","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274844","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Apr-2026","Sidhu Cemet Store","Payment Success","45850"
"2744","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274844","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-Apr-2026","Sidhu Cemet Store","Payment Success","49350"
"2745","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Apr-2026","Sidhu Cemet Store","Payment Success","48750"
"2746","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Apr-2026","Sidhu Cemet Store","Payment Success","38500"
"2747","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Apr-2026","Sidhu Cemet Store","Payment Success","48750"
"2748","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Apr-2026","Sidhu Cemet Store","Payment Success","40250"
"2749","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Apr-2026","Sidhu Cemet Store","Payment Success","48750"
"2750","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274839","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Apr-2026","Sidhu Cemet Store","Payment Success","48750"
"2751","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274839","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Apr-2026","Sidhu Cemet Store","Payment Success","48750"
"2752","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274839","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Apr-2026","Sidhu Cemet Store","Payment Success","40250"
"2753","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274839","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Apr-2026","Sidhu Cemet Store","Payment Success","48750"
"2754","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274839","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Apr-2026","Sidhu Cemet Store","Payment Success","38500"
"2755","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Apr-2026","Sidhu Cemet Store","Payment Success","48750"
"2756","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Apr-2026","Sidhu Cemet Store","Payment Success","40250"
"2757","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Apr-2026","Sidhu Cemet Store","Payment Success","48750"
"2758","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274838","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Apr-2026","Sidhu Cemet Store","Payment Success","38500"
